OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,92,0,"Janet M. Bouknight, MD",1,0%,0%,39%,0%,24%,0.32,0.21,0.21,0.06,0.44,15%,1%,18%,33%,29,11,12,1,0,20.7,11-Jun,12-Mar,0 / 1,,22,5,9,1,0,2,2,2.6,2,,0,4-Jan,0 / 9,0 / 1,,27.6,11-Feb,12-Feb,0 / 1,,27.6,11-Jan,12-Feb,0 / 1,,20.7,11-Jan,12-Jan,0 / 1,,6.9,0 / 11,12-Jan,0 / 1,,17.2,11-Jan,12-Jan,0 / 1,,22.2,7-Jan,21.7,0 / 2,,36.4,5-Feb,9-Feb,0 / 1,,36.4,5-Jan,9-Feb,0 / 1,,27.3,5-Jan,9-Jan,0 / 1,,9.1,0 / 5,9-Jan,0 / 1,,22.7,5-Jan,9-Jan,0 / 1,,9,9,5,0,0,9,8,5,0,0,1.8,4,1.3,,,2.1,1.8,2.6,,,19-Jun,12-Feb,13-Mar,,,9-Apr,8-Feb,5-Mar,,,9-Apr,8-Jan,5-Mar,,,9-Feb,0 / 8,5-Mar,,,9-Feb,8-Jan,0 / 5,,,9-Feb,0 / 8,5-Feb,,,1,0,0,0,0,1,0,0,0,0,4,1,4,6,4,1,4,5,2,2,2,1.6,8-Apr,0 / 2,8-Jan,8-Jan,4-Feb,0 / 1,4-Jan,5-Jan,4-Feb,0 / 1,4-Jan,5-Jan,4-Feb,0 / 1,4-Jan,5-Jan,0 / 4,0 / 1,0 / 4,0 / 5,4-Feb,0 / 1,4-Jan,5-Jan,,Alabama Fertility Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,376,0,"Virginia L. Houserman, MD",1,<1%,<1%,70%,6%,27%,0.08,0.18,0.21,0.03,0.7,56%,1%,15%,54%,87,36,21,4,3,5.7,13.9,33.3,0 / 4,3-Feb,65,24,11,4,1,1.7,1.9,2.1,2.5,2,14.5,0,0 / 9,0 / 4,0 / 1,33.3,44.4,19,0 / 4,0 / 3,29.9,36.1,14.3,0 / 4,0 / 3,19.5,16.7,14.3,0 / 4,0 / 3,9.2,16.7,0,0 / 4,0 / 3,18.4,13.9,9.5,0 / 4,0 / 3,34.5,60.5,21.7,0 / 10,0 / 2,44.6,66.7,11-Apr,0 / 4,0 / 1,40,54.2,11-Mar,0 / 4,0 / 1,26.2,25,11-Mar,0 / 4,0 / 1,12.3,25,0 / 11,0 / 4,0 / 1,24.6,20.8,11-Feb,0 / 4,0 / 1,64,25,18,5,3,57,17,16,4,2,1.4,0.9,1.5,1,0.7,1.6,1.6,1.9,2,3,36,29.6,17.9,8-Feb,6-Jan,47.4,17-Jun,16-May,4-Feb,2-Jan,35.1,17-Jun,16-Apr,4-Jan,2-Jan,24.6,17-May,16-Mar,4-Jan,2-Jan,8.8,17-Jan,16-Jan,0 / 4,0 / 2,21.1,17-Mar,16-Jan,0 / 4,0 / 2,25,15,10,2,3,2,4,0,0,0,7,8,28,12,6,7,23,9,2,2,1.5,1.9,12-May,14-May,25.7,17-Mar,6-Apr,7-Mar,34.8,9-Feb,6-Mar,7-Jan,26.1,9-Feb,6-Feb,0 / 7,21.7,9-Jan,6-Jan,7-Jan,4.3,9-Jan,6-Jan,0 / 7,13,9-Jan,,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,289,2,"G. Wright Bates, MD",1,0%,0%,56%,21%,21%,0.17,0.26,0.13,0.05,0.33,9%,17%,16%,18%,56,12,10,5,2,10.7,0 / 12,10-Feb,0 / 5,2-Jan,28,4,5,2,0,1.3,1.8,2,3,,67.9,0 / 3,0 / 4,0 / 2,,25,0 / 12,10-Apr,0 / 5,0 / 2,25,0 / 12,10-Mar,0 / 5,0 / 2,23.2,0 / 12,10-Feb,0 / 5,0 / 2,1.8,0 / 12,10-Jan,0 / 5,0 / 2,21.4,0 / 12,10-Jan,0 / 5,0 / 2,40.5,0 / 7,10-Jun,0 / 6,,50,0 / 4,5-Apr,0 / 2,,50,0 / 4,5-Mar,0 / 2,,46.4,0 / 4,5-Feb,0 / 2,,3.6,0 / 4,5-Jan,0 / 2,,42.9,0 / 4,5-Jan,0 / 2,,69,35,18,4,0,57,32,14,2,0,1.3,1.3,1.2,1,,1.2,1.2,1.3,1.5,,55.7,45.9,18-Sep,0 / 3,,66.7,53.1,14-Sep,0 / 2,,56.1,46.9,14-Jun,0 / 2,,54.4,43.8,14-Jun,0 / 2,,1.8,3.1,0 / 14,0 / 2,,42.1,37.5,14-Apr,0 / 2,,24,18,11,2,0,4,2,1,0,0,5,2,14,0,5,1,14,0,1.4,1,1.5,,7-Apr,1-Jan,57.1,,5-Apr,1-Jan,14-Oct,,5-Apr,1-Jan,14-Sep,,5-Apr,1-Jan,14-Jul,,0 / 5,0 / 1,14-Feb,,5-Feb,1-Jan,14-Jun,,,"University of Alabama at Birmingham, Reproductive Endocrinology and Infertility",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
4,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,324,0,"George T. Koulianos, MD",1,0%,3%,84%,7%,18%,0.16,0.14,0.15,0.05,0.38,6%,3%,6%,8%,76,32,20,7,0,5.3,25,5,7-May,,43,17,13,1,0,1.4,1.8,2.2,1,,55,15-Feb,0 / 11,,,27.6,31.3,30,0 / 7,,25,25,30,0 / 7,,18.4,18.8,20,0 / 7,,6.6,6.3,10,0 / 7,,17.1,15.6,15,0 / 7,,41.7,42.3,32.1,0 / 1,,48.8,17-Oct,13-Jun,0 / 1,,44.2,17-Aug,13-Jun,0 / 1,,32.6,17-Jun,13-Apr,0 / 1,,11.6,17-Feb,13-Feb,0 / 1,,30.2,17-May,13-Mar,0 / 1,,71,19,20,3,3,70,19,19,3,2,1.2,1.5,1.2,0.3,0.4,1.5,1.4,1.8,2,1.5,44,36,36.4,6-Feb,3-Jan,54.3,19-Aug,19-Oct,3-Jan,2-Jan,47.1,19-Jul,19-Jul,3-Jan,2-Jan,37.1,19-May,19-Apr,3-Jan,2-Jan,10,19-Feb,19-Mar,0 / 3,0 / 2,32.9,19-May,19-Apr,0 / 3,0 / 2,21,5,8,10,5,5,2,0,0,0,0,16,8,0,0,11,8,0,,1.5,1.8,,,15-May,11-Jan,,,11-Jun,8-Mar,,,11-May,8-Jan,,,11-May,8-Jan,,,0 / 11,0 / 8,,,11-Apr,8-Jan,,,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
5,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,39,0,"Botros M. Rizk, MD",1,0%,0%,80%,0%,33%,0.39,0.41,0.18,0.54,0.46,10%,0%,44%,44%,15,7,3,5,2,15-Feb,7-Feb,0 / 3,0 / 5,0 / 2,10,5,1,4,2,2.8,2.4,2,1.8,2,0 / 9,0 / 4,0 / 1,0 / 3,0 / 2,15-May,7-Jan,0 / 3,0 / 5,2-Jan,15-May,7-Jan,0 / 3,0 / 5,0 / 2,15-Mar,7-Jan,0 / 3,0 / 5,0 / 2,15-Feb,0 / 7,0 / 3,0 / 5,0 / 2,15-Jan,7-Jan,0 / 3,0 / 5,0 / 2,25,12-Jan,0 / 2,0 / 7,4-Jan,10-May,5-Jan,0 / 1,0 / 4,2-Jan,10-May,5-Jan,0 / 1,0 / 4,0 / 2,10-Mar,5-Jan,0 / 1,0 / 4,0 / 2,10-Feb,0 / 5,0 / 1,0 / 4,0 / 2,10-Jan,5-Jan,0 / 1,0 / 4,0 / 2,5,0,1,1,0,5,0,1,1,0,1.7,,,1,,2.4,,2,2,,12-Jan,,0 / 2,0 / 2,,5-Jan,,0 / 1,0 / 1,,5-Jan,,0 / 1,0 / 1,,5-Jan,,0 / 1,0 / 1,,0 / 5,,0 / 1,0 / 1,,5-Jan,,0 / 1,0 / 1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Alabama IVF and ART Program,No,No,Yes,Yes,Yes,No,Yes,Yes,0,AL
6,NEW DIRECTION FERTILITY CENTERS,,GILBERT,ARIZONA,795,1,"Mark Amols, MD",1,0%,0%,81%,52%,8%,0.14,0.08,0.09,0.03,0.21,98%,<1%,36%,21%,3,1,0,0,1,0 / 3,0 / 1,,,0 / 1,3,0,0,0,1,1.7,,,,4,0 / 2,,,,0 / 1,3-Mar,0 / 1,,,0 / 1,3-Mar,0 / 1,,,0 / 1,3-Mar,0 / 1,,,0 / 1,0 / 3,0 / 1,,,0 / 1,3-Feb,0 / 1,,,0 / 1,5-Mar,,,,0 / 4,3-Mar,,,,0 / 1,3-Mar,,,,0 / 1,3-Mar,,,,0 / 1,0 / 3,,,,0 / 1,3-Feb,,,,0 / 1,184,66,30,8,7,184,64,30,7,7,0.8,0.6,0.5,0.2,0.2,1.7,1.6,1.7,1.3,1.4,58.5,51,51,9-Apr,10-May,72.3,64.1,73.3,7-Mar,7-Apr,64.1,59.4,56.7,7-Mar,7-Apr,42.4,42.2,43.3,7-Feb,7-Mar,21.2,17.2,13.3,7-Jan,7-Jan,35.9,29.7,30,7-Feb,7-Feb,235,111,58,38,42,9,8,4,0,0,2,1,6,1,2,1,6,1,2,2,1.8,1,4-Feb,2-Feb,11-Sep,1-Jan,2-Jan,1-Jan,6-Jun,1-Jan,2-Jan,1-Jan,6-Jun,1-Jan,0 / 2,0 / 1,6-Mar,1-Jan,2-Jan,1-Jan,6-Mar,0 / 1,0 / 2,0 / 1,6-Feb,0 / 1,,New Direction Fertility Centers,No,No,Yes,Yes,Yes,No,No,Pending,0,AZ
7,TROCHÉ FERTILITY CENTERS,,GLENDALE,ARIZONA,215,0,"Vladimir Troché, MD",1,0%,3%,79%,10%,17%,0.19,0.41,0.04,<1%,0.8,6%,1%,5%,55%,36,27,14,2,5,0,7.4,0 / 14,0 / 2,5-Jan,30,25,13,2,4,1.7,2.2,2.2,5,2.8,33.3,8,0 / 10,0 / 2,0 / 3,47.2,59.3,14-Mar,2-Jan,5-Jan,47.2,51.9,14-Jan,2-Jan,0 / 5,25,29.6,0 / 14,2-Jan,0 / 5,22.2,22.2,14-Jan,0 / 2,0 / 5,22.2,22.2,0 / 14,2-Jan,0 / 5,48.1,40.4,12,10-Jan,11-Feb,56.7,64,13-Mar,2-Jan,4-Jan,56.7,56,13-Jan,2-Jan,0 / 4,30,32,0 / 13,2-Jan,0 / 4,26.7,24,13-Jan,0 / 2,0 / 4,26.7,24,0 / 13,2-Jan,0 / 4,41,14,11,2,6,40,12,11,2,5,2.1,1.1,2.8,2,1.3,1.6,1.5,1.7,2.5,2.2,22,18-May,14-Jul,5-Jan,11-Mar,32.5,12-May,11-Aug,2-Jan,5-Feb,25,12-May,11-May,2-Jan,5-Feb,20,12-May,11-May,2-Jan,5-Jan,5,0 / 12,0 / 11,0 / 2,5-Jan,15,12-May,11-May,2-Jan,5-Jan,7,8,1,1,3,1,1,0,0,0,12,0,21,4,9,0,19,3,1.7,,1.6,1.7,15-Jun,,23.3,5-Mar,9-Mar,,19-May,3-Feb,9-Mar,,19-May,3-Feb,0 / 9,,19-Apr,3-Jan,9-Mar,,0 / 19,3-Jan,0 / 9,,19-Mar,0 / 3,,Troché Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
8,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,398,1,"Drew V. Moffitt, MD",1,0%,2%,66%,26%,19%,0.17,0.47,0.1,0.03,0.46,9%,4%,16%,29%,1,0,0,1,1,0 / 1,,,0 / 1,0 / 1,1,0,0,1,1,1,,,5,2,1-Jan,,,0 / 1,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,5-Jan,0 / 2,0 / 1,,,1-Jan,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,1-Jan,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,1-Jan,0 / 1,101,52,30,6,11,96,49,27,6,10,1.4,1.3,0.9,0.5,0.6,1.5,1.4,1.5,1.2,1.5,39.4,35.5,44.7,6-Feb,15-Apr,47.9,44.9,59.3,6-Feb,10-Apr,40.6,32.7,48.1,6-Jan,10-Apr,33.3,28.6,37,0 / 6,10-Apr,6.3,4.1,11.1,6-Jan,0 / 10,29.2,24.5,37,0 / 6,10-Mar,66,39,31,12,18,4,3,1,0,0,4,1,21,2,4,1,20,2,1.3,1,1.2,2,5-Apr,0 / 1,52.2,4-Jan,4-Mar,0 / 1,55,2-Jan,4-Mar,0 / 1,45,2-Jan,4-Feb,0 / 1,40,2-Jan,4-Jan,0 / 1,5,0 / 2,4-Jan,0 / 1,35,2-Jan,,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
9,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,,PHOENIX,ARIZONA,12,0,"Maria M. Gondra, MD",1,0%,0%,91%,18%,18%,0,0.46,0.55,0.18,0.55,0%,9%,18%,55%,3,0,0,1,0,0 / 3,,,0 / 1,,2,0,0,1,0,2,,,3,,0 / 2,,,0 / 1,,3-Feb,,,1-Jan,,3-Feb,,,1-Jan,,3-Jan,,,1-Jan,,3-Jan,,,0 / 1,,0 / 3,,,1-Jan,,4-Mar,,,3-Jan,,2-Feb,,,1-Jan,,2-Feb,,,1-Jan,,2-Jan,,,1-Jan,,2-Jan,,,0 / 1,,0 / 2,,,1-Jan,,1,2,0,2,0,1,1,0,2,0,0.5,1,,2,,2,2,,2,,0 / 2,0 / 2,,0 / 4,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,,1.5,,,,3-Jan,,,,2-Jan,,,,2-Jan,,,,2-Jan,,,,0 / 2,,,,0 / 2,,,,Gondra Center for Reproductive Care & Advanced Gynecology,No,No,Yes,Yes,Yes,Yes,No,No,0,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,122,1,"Sujatha Gunnala, MD",1,0%,1%,67%,14%,16%,0.17,0.33,0.12,0.07,0.35,7%,10%,9%,24%,24,6,10,2,4,4.2,0 / 6,10-Mar,0 / 2,0 / 4,19,5,5,2,4,1.7,2,2.4,2.5,3.3,19-Aug,0 / 4,0 / 5,0 / 2,0 / 4,41.7,6-Jan,10-Jan,2-Jan,0 / 4,29.2,6-Jan,10-Jan,2-Jan,0 / 4,20.8,0 / 6,10-Jan,2-Jan,0 / 4,8.3,6-Jan,0 / 10,0 / 2,0 / 4,16.7,0 / 6,10-Jan,0 / 2,0 / 4,36.7,10-Feb,12-Jan,5-Jan,0 / 13,19-Oct,5-Jan,5-Jan,2-Jan,0 / 4,19-Jul,5-Jan,5-Jan,2-Jan,0 / 4,19-May,0 / 5,5-Jan,2-Jan,0 / 4,19-Feb,5-Jan,0 / 5,0 / 2,0 / 4,19-Apr,0 / 5,5-Jan,0 / 2,0 / 4,15,10,6,2,4,15,10,6,2,4,1.9,1.3,1.5,0.4,0.7,1.7,1.9,1.7,2,1.8,38.5,17-Aug,10-Apr,4-Jan,7-Feb,15-Aug,10-Jul,6-Mar,2-Jan,4-Feb,15-Jul,10-Jun,6-Mar,2-Jan,4-Jan,15-May,10-May,6-Feb,2-Jan,4-Jan,15-Feb,10-Jan,6-Jan,0 / 2,0 / 4,15-May,10-Mar,6-Feb,0 / 2,4-Jan,5,6,4,4,6,1,1,2,2,0,3,0,8,2,3,0,8,1,1.7,,2.1,1,5-Mar,,17-Jun,0 / 1,3-Feb,,8-Apr,0 / 1,3-Feb,,8-Mar,0 / 1,3-Jan,,8-Feb,0 / 1,3-Jan,,8-Jan,0 / 1,3-Jan,,8-Feb,0 / 1,,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
